epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,429.305,0.3417,0.26373,1.12126,0.98799,1,0.995,0.90698,0.56089,0.39453,1.16661,0.000661339,0.000661339,0.000661339
151,432.168,0.32268,0.28421,1.04291,0.98845,1,0.995,0.87644,0.61578,0.46338,1.18335,0.000660986,0.000660986,0.000660986
152,435.031,0.34948,0.26918,1.06989,0.95824,1,0.995,0.86879,0.59623,0.39484,1.1414,0.000660632,0.000660632,0.000660632
153,437.874,0.34431,0.25716,1.03694,0.93282,1,0.9786,0.84534,0.63393,0.51718,1.16743,0.000660279,0.000660279,0.000660279
154,440.73,0.3136,0.25585,1.02499,0.95714,1,0.985,0.86175,0.56886,0.56895,1.11914,0.000659925,0.000659925,0.000659925
155,443.576,0.35531,0.27218,1.03631,0.99704,1,0.995,0.90121,0.50691,0.47138,1.03964,0.000659572,0.000659572,0.000659572
156,446.415,0.33777,0.25672,1.04406,0.99771,1,0.995,0.89783,0.55475,0.39966,1.11399,0.000659218,0.000659218,0.000659218
157,449.299,0.35032,0.24961,1.03953,0.99552,1,0.995,0.84421,0.69375,0.58379,1.2818,0.000658865,0.000658865,0.000658865
158,452.149,0.37605,0.26792,1.07376,0.99143,1,0.995,0.85508,0.6787,0.53133,1.2864,0.000658511,0.000658511,0.000658511
159,455.01,0.40856,0.28411,1.08978,0.98626,1,0.995,0.88509,0.56627,0.40335,1.18918,0.000658158,0.000658158,0.000658158
160,457.855,0.3155,0.25661,1.03227,0.85439,0.97832,0.97952,0.75745,0.71647,0.6982,1.33484,0.000657805,0.000657805,0.000657805
161,460.718,0.31338,0.25078,1.05983,0.92258,1,0.98317,0.80935,0.61921,0.58815,1.20525,0.000657451,0.000657451,0.000657451
162,463.61,0.32678,0.25437,1.07063,1,0.97168,0.995,0.81937,0.67738,0.48798,1.25291,0.000657098,0.000657098,0.000657098
163,466.49,0.32416,0.24964,1.05645,0.95944,0.98602,0.9918,0.76243,0.87664,0.57456,1.41711,0.000656744,0.000656744,0.000656744
164,469.332,0.31685,0.23933,1.02914,0.98273,1,0.995,0.8199,0.75099,0.4711,1.30885,0.000656391,0.000656391,0.000656391
165,472.206,0.32165,0.24648,1.02582,0.99131,1,0.995,0.82318,0.70252,0.43309,1.29902,0.000656037,0.000656037,0.000656037
166,475.047,0.29936,0.23583,1.0265,0.9542,1,0.9934,0.83613,0.70093,0.40165,1.34436,0.000655684,0.000655684,0.000655684
167,477.913,0.36353,0.26705,1.10516,0.86807,1,0.94621,0.70893,0.90767,0.65228,1.58948,0.000655331,0.000655331,0.000655331
168,480.768,0.33459,0.25905,1.04337,0.87993,1,0.972,0.76409,0.84203,0.61165,1.47929,0.000654977,0.000654977,0.000654977
